"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"mmu00480","Glutathione metabolism - Mus musculus (house mouse)","46/4686","73/9787",0.0064489196696835,0.0142011828077457,0.00604958551464395,"14859/15926/11758/66447/69065/14854/14866/68312/14867/14864/14862/14865/14630/67305/66073/20810/110208/66988/76263/100043497/100504710/68396/93673/66116/56615/16790/269951/14782/14629/14858/14775/23887/14871/14872/625249/14778/71522/18263/20135/75512/382985/75475/14870/14869/225884/20603",46
"mmu00062","Fatty acid elongation - Mus musculus (house mouse)","21/4686","29/9787",0.00645508309442987,0.0142011828077457,0.00604958551464395,"30963/56348/75778/170439/15107/66775/54325/19063/26922/70025/97212/231086/106529/57874/68801/171210/26897/171281/54326/70757/12686",21
"mmu04012","ErbB signaling pathway - Mus musculus (house mouse)","52/4686","84/9787",0.00658405410433826,0.014392066984483,0.00613090058298704,"17974/13869/11352/23797/11350/214230/271849/18706/20416/108058/13645/16476/18710/56717/26414/21802/12576/18752/70584/18479/15461/14388/234779/12402/83961/26395/216148/26396/13867/12323/13649/26420/13866/20850/18750/20663/11651/20418/18708/12325/26419/56637/208650/12575/100042150/15200/12322/58988/12015/11836/13712/18481",52
"mmu04024","cAMP signaling pathway - Mus musculus (house mouse)","126/4686","224/9787",0.00677297442236588,0.0147107278855208,0.00626664747091178,"12790/12912/381290/12292/11931/23797/16526/22325/56508/26427/12064/98932/14683/13616/18805/18706/84112/18160/11928/14679/57257/108058/18749/30952/12913/242425/16476/18578/18710/20544/230899/19046/80911/26414/19047/11938/109305/80885/243764/208647/231991/12922/11517/58991/11941/12288/54611/21954/12315/381853/56188/14814/18479/66922/18576/18166/110385/15245/18747/11513/333329/18577/11936/13489/330953/26395/14678/78977/23828/11540/15166/170483/208677/26396/67972/17931/215449/12323/26420/11932/53313/20682/14813/11430/104111/19878/18035/14281/12313/11651/22355/20191/14634/13614/19206/14062/18708/238871/12325/12289/26419/104110/239273/11514/19354/328572/19013/223864/11512/11515/224129/64082/21844/23984/54393/12314/19877/106952/12322/18018/19697/12015/12669/74055/11554/320707",126
"mmu00280","Valine, leucine and isoleucine degradation - Mus musculus (house mouse)","37/4686","57/9787",0.00699862905011592,0.0150096384030788,0.00639398086008604,"11761/71724/56752/72039/15360/13171/15107/11364/72535/15356/97212/231086/11669/78894/58875/12035/12036/257633/66948/12040/66904/235674/113868/11671/13382/11992/78038/208715/67041/268782/268860/74147/224530/110460/17850/110695/15108",37
"mmu04923","Regulation of lipolysis in adipocytes - Mus musculus (house mouse)","37/4686","57/9787",0.00699862905011592,0.0150096384030788,0.00639398086008604,"16367/19225/23797/19224/14683/11770/18706/18160/14679/18749/11832/18710/230899/16369/23945/14311/103968/18576/66853/16337/384783/11556/18166/18747/11513/14678/104111/11651/18708/104110/11514/11512/11515/224129/225845/19091/11554",37
"mmu04713","Circadian entrainment - Mus musculus (house mouse)","60/4686","99/9787",0.00714884137005435,0.0152359681699283,0.00649039545439145,"12912/18627/70729/16519/20192/18795/18798/14683/14696/54195/60596/14679/108058/18749/14700/18628/18125/14699/66066/11517/14701/16438/12288/14695/18752/12315/14814/17773/18747/11513/14681/234889/16521/14697/14678/12323/19416/12291/18750/14813/104111/14281/12313/73086/20191/14706/14702/12325/12289/104110/11514/11512/11515/224129/58226/16440/12314/12322/14682/19091",60
"mmu05210","Colorectal cancer - Mus musculus (house mouse)","54/4686","88/9787",0.00733877263599638,0.0155436116079178,0.00662144899488395,"12043/64143/23797/21808/19730/12125/18706/13645/21812/16476/18710/12371/56717/26414/13063/21802/170770/21803/12028/15461/12443/12367/17127/26395/17350/21813/12387/23805/17873/26396/13649/26420/21414/22059/12006/11799/20663/14281/21809/11651/17686/18708/26419/19354/56637/12005/12575/17688/11789/17128/58988/12015/21416/11836",54
"mmu05142","Chagas disease - Mus musculus (house mouse)","62/4686","103/9787",0.00779099073823112,0.0163995545786223,0.00698607356644506,"12633/12370/12503/23797/21808/22034/18795/18798/14683/18706/24088/14679/21812/21898/16476/18710/12260/12262/12259/269643/26414/18787/21937/21803/14082/16150/12317/14681/73699/14678/21813/17874/15979/14672/26420/18126/20293/20304/11421/18035/14281/21809/11651/18708/26419/71978/29857/19094/266632/385643/16644/15980/51792/26416/106759/12266/19697/14682/14675/14102/12675/16151",62
"mmu04977","Vitamin digestion and absorption - Mus musculus (house mouse)","19/4686","26/9787",0.00814022590382425,0.0170295523509452,0.00725444736666288,"68421/80721/116914/65969/69698/67096/330064/665270/20778/11806/11808/20509/21452/52466/238055/26363/17250/20522/245532",19
