"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"mmu04971","Gastric acid secretion - Mus musculus (house mouse)","45/4354","75/9787",0.00480953213979506,0.0103800662004438,0.00442182168748647,"11931/16513/16526/18795/18798/14683/11928/14679/108058/18749/20544/20535/11461/16438/16439/18752/12315/16535/18747/213435/11513/14678/12323/11932/18750/16517/16518/11465/104111/72258/12313/12671/238564/12325/104110/11514/11512/11515/107589/224129/22350/16440/12314/12322/14682",45
"mmu05213","Endometrial cancer - Mus musculus (house mouse)","36/4354","58/9787",0.00518295738666154,0.0111156507474943,0.00473517457371263,"23797/18706/13645/18710/12371/12028/15461/12443/12550/26395/17350/12387/56484/216033/23805/17873/26396/13649/21414/22059/13866/12006/20663/11651/18708/56637/18607/12005/12575/11789/12385/12015/19211/21416/11836/13712",36
"mmu00100","Steroid biosynthesis - Mus musculus (house mouse)","15/4354","20/9787",0.00560067692253009,0.0119364426911423,0.00508482510071811,"15490/74754/13121/244209/13360/66234/235293/16987/14137/20775/223920/73166/16889/13595/18194",15
"mmu05142","Chagas disease - Mus musculus (house mouse)","59/4354","103/9787",0.00589198423878089,0.0124792958100887,0.00531607600491509,"12633/12370/12503/23797/21808/22034/18795/18798/14683/18706/24088/14679/21812/21898/16476/18710/12260/12262/12259/269643/26414/18787/21937/21803/16150/12317/14681/73699/14678/21813/17874/15979/14672/26420/18126/11421/18035/14281/21809/11651/18708/26419/71978/29857/19094/266632/385643/16644/15980/51792/26416/106759/12266/19697/14682/14675/14102/12675/16151",59
"mmu01523","Antifolate resistance - Mus musculus (house mouse)","20/4354","29/9787",0.00674400414980198,0.014162433226442,0.00603307851597159,"108147/14287/17769/22171/26357/16150/20509/108037/20425/11684/52466/76408/13361/239273/17250/27416/19697/12780/12675/16151",20
"mmu04924","Renin secretion - Mus musculus (house mouse)","45/4354","76/9787",0.00676972614636378,0.014162433226442,0.00603307851597159,"12912/12292/18573/18795/18798/14683/54195/60596/18160/14679/19055/12722/18749/230899/109305/11826/11517/18575/16438/12288/54611/16439/12315/18576/11556/18747/11606/234889/14678/19058/11421/16518/12313/11607/13614/19056/12289/13030/19057/11512/224129/16440/12314/14682/11554",45
"mmu05169","Epstein-Barr virus infection - Mus musculus (house mouse)","120/4354","228/9787",0.00756969011388992,0.0156884262935279,0.00668313884397855,"20846/12370/70247/12043/56489/12503/23797/22033/22352/72090/59029/66935/22034/14827/12125/228607/13555/21939/56436/18706/24088/19185/17096/26409/230073/16476/18710/433759/12371/100038882/12571/19181/19664/26414/246728/246727/23960/246730/20602/13063/12122/12444/12576/23996/18036/57296/12447/54131/12028/16408/23997/54123/12443/16150/12367/12317/71609/17463/234779/15894/17999/17874/68652/21929/17873/11783/17246/56480/12567/20847/12566/26420/26397/22059/69077/22123/20848/19184/18035/19179/11651/13557/19766/20963/18708/66413/26419/16391/19645/27401/66513/29857/19094/266632/252870/21762/15205/15975/26416/12575/21356/14972/14998/14999/21354/21355/14964/15006/15015/110557/15018/15007/15039/18037/19106/19697/14102/12495/12675/16151",120
"mmu00640","Propanoate metabolism - Mus musculus (house mouse)","21/4354","31/9787",0.00759117401299737,0.0156884262935279,0.00668313884397855,"68738/60525/13171/97212/80911/100705/56451/20917/16832/16828/12040/66904/52665/380660/107476/11430/13382/20916/268860/74147/17850",21
"mmu00500","Starch and sucrose metabolism - Mus musculus (house mouse)","23/4354","35/9787",0.00918066179474447,0.0188590703133004,0.00803380677029003,"110078/27357/11722/77559/72157/232714/15277/232493/14751/14936/70974/58866/18605/209558/15275/103988/14377/68401/14387/110095/212032/74185/19309",23
"mmu05224","Breast cancer - Mus musculus (house mouse)","80/4354","147/9787",0.00936487992967491,0.0191222997366416,0.00814594031071628,"14369/23797/18128/54485/16449/13555/17979/15213/18706/20416/18129/13645/16476/18710/56198/22417/56717/12571/14362/22413/22419/16974/12028/56636/16001/14366/22411/15461/12443/14182/26395/12387/13982/15214/216148/23805/17873/26396/16000/12567/13649/14172/14257/21414/216795/22059/13866/12189/57265/12006/17977/20663/14281/11651/16450/13557/18708/22418/14180/14365/19645/14368/20683/13544/15205/56637/13388/12005/12575/18131/18132/11789/93687/16973/58988/19211/14296/21416/11836/80903",80
"mmu00785","Lipoic acid metabolism - Mus musculus (house mouse)","14/4354","19/9787",0.00963100570612319,0.0195486484868334,0.00832756132484336,"209692/13171/117147/68133/235339/12040/434437/18293/13382/78920/68263/239017/104174/18597",14
"mmu00380","Tryptophan metabolism - Mus musculus (house mouse)","32/4354","52/9787",0.0097780885172021,0.0197297525702125,0.00840471015492924,"11761/71724/266645/56752/98256/209692/70266/70789/12359/56720/15107/229905/72535/97212/11669/21743/209176/23923/270076/13077/237320/13195/11671/13382/78920/74147/224530/110460/13078/107766/110695/109731",32
"mmu05219","Bladder cancer - Mus musculus (house mouse)","26/4354","41/9787",0.0112566792808204,0.0225795743221162,0.00961871046906015,"21825/13555/13645/14184/15461/12443/17390/12550/26395/13143/26396/13144/17246/12567/13649/22059/13866/73086/13557/69635/19645/72962/12575/22339/15200/11836",26
"mmu00514","Other types of O-glycan biosynthesis - Mus musculus (house mouse)","27/4354","43/9787",0.0118628565261672,0.0236563396223568,0.0100774035125335,"269132/99011/14595/53418/20441/231050/212996/26433/381694/94192/101351/232313/233733/108150/234407/108148/80294/19719/108760/217734/78754/17305/20440/268880/14423/59048/108155",27
"mmu05211","Renal cell carcinoma - Mus musculus (house mouse)","41/4354","70/9787",0.0121627577797663,0.0241133744354669,0.0102720965337071,"23797/21808/107746/214230/18706/11863/16476/18710/12540/15234/19247/17295/21802/22346/21803/112406/70584/18479/15461/14388/112405/23871/26395/26396/215449/216805/112407/20663/21809/11651/18708/18591/56438/328572/12575/22339/13819/71745/12015/209446/11836",41
"mmu04012","ErbB signaling pathway - Mus musculus (house mouse)","48/4354","84/9787",0.012985030470868,0.025594771043734,0.0109031591419518,"17974/13869/11352/23797/11350/214230/18706/20416/108058/13645/16476/18710/56717/26414/21802/12576/18752/70584/18479/15461/14388/234779/12402/83961/26395/216148/26396/13867/12323/13649/26420/13866/20850/18750/20663/11651/18708/12325/26419/56637/208650/12575/15200/12322/58988/12015/11836/13712",48
"mmu00030","Pentose phosphate pathway - Mus musculus (house mouse)","22/4354","34/9787",0.0139067492513875,0.0272540315788685,0.0116099903006138,"66646/230163/72157/110208/100198/19895/232449/14751/11674/21351/66171/18641/74637/11676/56421/75731/14120/14121/21881/18642/19733/19139",22
"mmu05207","Chemical carcinogenesis - receptor activation - Mus musculus (house mouse)","118/4354","228/9787",0.0153532832267558,0.0299169690304213,0.0127443794604048,"74229/14859/12912/12043/56489/12292/66447/20183/12355/23797/13849/20181/26427/54485/16449/13555/14683/11438/18706/16649/11444/11863/18129/14866/68312/14867/14864/14862/14865/14679/13645/18749/12913/16600/16476/18710/16650/20111/71904/56717/100727/71773/243085/231396/22238/112417/72094/100559/13113/13112/56388/100041449/208647/231991/12288/56615/18752/13094/109689/15461/12443/11556/18747/12286/11513/13077/26395/14858/14678/13982/14871/14872/208677/26396/22027/56351/13649/14172/216869/16211/20850/20848/16647/18750/104111/11622/20663/14281/15519/11651/18708/12289/104110/14180/16648/13850/19645/11514/11911/19013/11512/11515/12053/224129/16646/20112/13388/12915/22339/13078/58988/19697/12015/16452/11554/11798/80903/110651",118
"mmu04114","Oocyte meiosis - Mus musculus (house mouse)","67/4354","123/9787",0.0160036115380167,0.0310069973549074,0.0132087224416645,"226849/99152/54401/20878/108058/19055/18749/66440/20111/71890/19046/231207/52206/19047/59008/22628/17120/26965/16438/16439/12315/12447/16001/12877/75430/18747/11513/73699/26395/16000/12566/12323/19058/67579/30939/21402/66156/104111/22630/26932/12313/26931/19056/12325/104110/19057/22631/11514/56438/29857/19094/11512/11515/224129/20112/51792/268930/16440/26416/12314/52563/12322/225849/208922/20874/24061/110651",67
"mmu05226","Gastric cancer - Mus musculus (house mouse)","80/4354","150/9787",0.0175183147351784,0.0337499735858521,0.0143772074543837,"14369/12043/20183/23797/21808/20181/13555/18706/20416/13645/21812/18710/22417/56717/14362/18671/18669/15234/17295/22413/22419/16974/12576/21803/12447/12028/56636/14366/22411/14183/15461/12443/14388/12550/17127/26395/17350/21813/12387/216033/216148/23805/17873/26396/12566/13649/14172/21414/216795/22059/13866/16480/57265/12006/20663/21809/11651/13557/21752/18708/218772/22418/14180/14365/19645/14368/13544/56637/12005/12575/11789/12385/93687/17128/16973/58988/14296/21416/11836/80903",80
"mmu04930","Type II diabetes mellitus - Mus musculus (house mouse)","29/4354","48/9787",0.0189980278963402,0.0363950983856854,0.0155040085730038,"16367/18706/18770/18710/56717/18762/26414/15277/12288/16514/20927/16337/384783/16150/12286/18746/15275/216233/103988/26420/20528/12291/12702/212032/18708/12289/26419/67296/18754",29
"mmu02010","ABC transporters - Mus musculus (house mouse)","31/4354","52/9787",0.0199294645144019,0.0379661865888885,0.0161732790531459,"74591/11305/27413/19299/11303/18671/18669/18670/74610/27405/56325/26357/20928/27421/20927/27403/76408/27404/217262/76184/217265/239273/17250/27416/27410/21354/21355/224814/27409/67470/12780",31
"mmu04724","Glutamatergic synapse - Mus musculus (house mouse)","63/4354","116/9787",0.0206008977850809,0.0390272563595144,0.0166252859318197,"14660/14645/16519/20511/329502/241638/18795/18798/14683/18805/14696/14679/19055/18749/14700/26562/320129/66066/14823/14701/16438/12288/14695/16439/18752/243961/72961/26557/210274/26558/18747/12286/11513/14681/14697/22063/14678/76257/14816/170483/216227/216456/19058/13385/18750/104111/26556/14702/19056/12289/104110/19057/11514/58234/105727/67760/11512/11515/224129/16440/224997/110355/14682",63
"mmu04350","TGF-beta signaling pathway - Mus musculus (house mouse)","60/4354","110/9787",0.0210699820723583,0.0396953805893602,0.0169099012851727,"12168/16324/14264/23893/21808/21825/14118/12156/15901/12162/69585/21812/230597/433759/15903/17965/20481/50765/75788/26965/21803/13732/244058/434215/17125/73699/18007/207596/17127/17130/12160/22041/71775/21813/11481/13179/21402/20185/15902/21809/15216/12161/218441/12166/56438/328572/11479/20683/12667/22042/68799/51792/21815/268977/68010/19877/17128/17131/58988/209268",60
"mmu04916","Melanogenesis - Mus musculus (house mouse)","55/4354","100/9787",0.0217422213464461,0.0407367993359237,0.0173535369913798,"14369/12912/26427/18795/18798/14683/14679/108058/18749/12913/22417/14362/22413/208647/17342/22419/18752/12315/14366/22411/15461/18747/11513/14681/26395/14678/12387/208677/26396/17311/12323/21414/216795/57265/18750/104111/12313/13614/12325/22418/104110/14365/13618/14368/11514/328572/11512/11515/13544/224129/56637/12314/12322/14682/21416",55
"mmu05218","Melanoma - Mus musculus (house mouse)","41/4354","72/9787",0.0222313929034059,0.0413805334868479,0.0176277623743942,"23797/13555/18706/54635/13645/18710/12571/15234/18595/18590/17295/17342/12028/56636/16001/15461/12443/14182/12550/71785/26395/17873/26396/16000/17246/12567/13649/14172/22059/11651/13557/18708/14180/19645/18591/12575/18596/12015/19211/11836/80903",41
"mmu04911","Insulin secretion - Mus musculus (house mouse)","48/4354","86/9787",0.022328499007566,0.0413805334868479,0.0176277623743942,"12912/12292/11931/56508/26427/18795/18798/14683/11928/108058/18749/12913/20907/208647/231991/11517/12288/18752/68667/16514/20927/19339/84036/18747/11513/208677/14672/103988/12323/22318/11932/18750/104111/12671/20191/12325/12289/104110/11514/11911/11512/11515/224129/16440/12915/140492/12322/14682",48
"mmu04150","mTOR signaling pathway - Mus musculus (house mouse)","83/4354","158/9787",0.0246925500749397,0.0455143760840781,0.019388744866809,"108664/227154/14369/16367/12283/320311/23797/64930/75425/18706/329679/83409/56692/13684/52187/20104/108079/18710/230784/20111/22417/56717/14362/19744/56430/80909/66096/252875/22413/66144/110379/22419/21937/16974/18752/16001/14366/22411/15461/16337/16150/319481/20539/26395/56032/20393/74747/26396/16000/14783/216742/216795/216805/57265/72149/18750/14245/20663/73834/11651/18708/22418/69008/14365/27401/14368/97998/75705/13544/56637/11964/20112/18607/22084/71718/268933/64898/16973/58988/17254/19211/12675/110651",83
"mmu04670","Leukocyte transendothelial migration - Mus musculus (house mouse)","64/4354","119/9787",0.0253355638795572,0.0464485337791882,0.0197866882590769,"12767/16456/22325/56508/12388/98932/18706/14679/57257/18710/12540/64945/19247/17906/12739/60363/11461/20315/18752/232906/22323/60595/16408/17390/12562/12927/234779/13057/16412/15894/83964/69524/21838/14678/12387/216033/215449/17898/18613/18750/11465/19878/18260/18708/22330/19229/19354/29857/19094/223864/12741/12737/67374/56173/22350/26416/67938/19877/12385/20469/13058/171486/17698/12738",64
"mmu04713","Circadian entrainment - Mus musculus (house mouse)","54/4354","99/9787",0.0276283247018474,0.0503810626916041,0.0214619127996338,"12912/18627/70729/16519/20192/18795/18798/14683/14696/54195/60596/14679/108058/18749/14700/18628/66066/11517/14701/16438/12288/14695/18752/12315/17773/18747/11513/14681/234889/16521/14697/14678/12323/12291/18750/104111/14281/12313/73086/20191/14702/12325/12289/104110/11514/11512/11515/224129/58226/16440/12314/12322/14682/19091",54
"mmu04923","Regulation of lipolysis in adipocytes - Mus musculus (house mouse)","33/4354","57/9787",0.0284788402661484,0.0516557687806203,0.0220049269693644,"16367/23797/19224/14683/11770/18706/18160/14679/18749/11832/18710/230899/23945/14311/18576/66853/16337/384783/11556/18747/11513/14678/104111/11651/18708/104110/11514/11512/11515/224129/225845/19091/11554",33
"mmu00563","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis - Mus musculus (house mouse)","19/4354","30/9787",0.0292197669211167,0.0527192620111153,0.0224579662217438,"241062/67556/13481/78928/329777/56703/67063/433931/233575/327942/276846/320655/14756/14731/72084/56176/18701/225651/18700",19
"mmu04024","cAMP signaling pathway - Mus musculus (house mouse)","114/4354","224/9787",0.0301094010384854,0.0540384513374922,0.0230199298798392,"12790/12912/381290/12292/11931/23797/16526/22325/56508/26427/12064/98932/14683/18805/18706/84112/18160/11928/14679/57257/108058/18749/30952/12913/242425/16476/18578/18710/20544/230899/19046/80911/26414/19047/11938/109305/80885/243764/208647/231991/12922/11517/11941/12288/54611/21954/12315/56188/18479/66922/18576/110385/15245/18747/11513/18577/330953/26395/14678/78977/23828/11540/15166/170483/208677/26396/67972/17931/215449/12323/26420/11932/53313/20682/11430/104111/19878/18035/14281/12313/11651/20191/14634/13614/19206/14062/18708/238871/12325/12289/26419/104110/239273/11514/19354/328572/19013/223864/11512/11515/224129/64082/21844/23984/54393/12314/19877/106952/12322/18018/19697/12015/74055/11554",114
"mmu04136","Autophagy - other - Mus musculus (house mouse)","20/4354","32/9787",0.0306481466207211,0.0547173717155283,0.0233091443023396,"77040/66615/51897/242557/56717/74781/74244/57436/235040/11793/56486/56208/52639/76559/66795/68118/67841/225326/67526/18518",20
"mmu05167","Kaposi sarcoma-associated herpesvirus infection - Mus musculus (house mouse)","113/4354","223/9787",0.03530141748807,0.0626967883512076,0.0267083092837371,"20846/12370/12912/17164/56489/23797/15162/13555/66734/277360/18019/18706/14696/19055/17096/14700/16476/18710/12371/56717/12571/14825/26414/22190/66066/13063/14701/16438/12122/14695/21937/94071/16439/12315/22695/54131/12028/15461/54123/12443/16150/12367/71609/18021/234779/67443/15894/26395/14697/12387/12774/15979/26396/56480/12567/20847/19058/78294/26420/21414/22187/104709/22059/20848/56208/30955/18035/14281/12313/11651/13557/20963/18708/14702/19056/26419/100504663/16391/73181/19057/19645/18591/328572/29857/19094/56637/67841/15975/54720/16440/26416/12575/14972/14964/15006/15015/110557/15018/15007/15039/22339/106759/12266/19106/12314/225326/18018/19697/16452/14102/12675/21416/16151",113
"mmu03060","Protein export - Mus musculus (house mouse)","25/4354","42/9787",0.0355606832174225,0.0628300154256013,0.0267650629070319,"27058/57743/14828/69276/66212/66661/67604/53421/56529/66624/76687/66320/67398/20818/140740/20335/217337/93757/24067/69019/69089/71446/224727/66286/27643",25
"mmu05134","Legionellosis - Mus musculus (house mouse)","34/4354","60/9787",0.0384467013616279,0.067578995692346,0.0287880889197214,"15510/12747/12370/53791/13628/24088/20333/269523/21898/12371/14825/13063/94044/66824/12176/12367/16173/13627/17874/56422/11783/19324/12750/66397/11840/11841/18035/17948/15499/15511/12266/19697/67160/12369",34
