"","Genename","Heart_ZT0_1","Heart_ZT0_2","Heart_ZT12_1","Heart_ZT12_2","Liver_ZT0_1","Liver_ZT0_2","Liver_ZT12_1","Liver_ZT12_2"
"ENSMUSG00000038403.11","Hjv",7743,5587,6767,2910,2133,2169,1181,790
"ENSMUSG00000087610.2","Gm16253",4,4,7,1,0,2,0,0
"ENSMUSG00000028104.15","Polr3gl",258,206,393,132,50,55,58,43
"ENSMUSG00000049097.10","Ankrd34a",63,43,70,30,1,0,0,0
"ENSMUSG00000049288.5","Lix1l",55,42,81,18,0,0,1,0
"ENSMUSG00000038374.11","Rbm8a",766,603,702,259,961,1026,380,311
"ENSMUSG00000090210.8","Itga10",67,43,18,14,52,43,11,4
"ENSMUSG00000038354.14","Ankrd35",88,81,117,61,8,1,3,1
"ENSMUSG00000028101.19","Pias3",375,261,405,160,111,119,128,81
"ENSMUSG00000028100.12","Nudt17",58,55,48,19,2,2,3,4
"ENSMUSG00000028099.9","Polr3c",712,628,702,254,464,664,310,232
"ENSMUSG00000028098.14","Rnf115",823,686,811,270,446,798,403,325
"ENSMUSG00000038304.15","Cd160",5,4,7,1,4,6,2,1
"ENSMUSG00000038298.15","Pdzk1",181,179,194,67,718,1078,561,410
"ENSMUSG00000028096.14","Gpr89",394,337,367,129,451,682,298,255
"ENSMUSG00000057123.15","Gja5",9,9,19,1,0,0,2,0
"ENSMUSG00000028093.16","Acp6",705,571,619,228,513,601,432,346
"ENSMUSG00000038256.16","Bcl9",542,470,1082,400,91,104,87,60
"ENSMUSG00000028089.6","Chd1l",461,413,549,206,270,348,217,172
"ENSMUSG00000028088.15","Fmo5",610,444,789,258,16833,23572,10964,11354
"ENSMUSG00000038205.13","Prkab2",2715,1985,2928,1119,56,75,41,21
"ENSMUSG00000038170.16","Pde4dip",80778,66212,77284,28991,1637,2593,1214,855
"ENSMUSG00000027879.10","Sec22b",934,775,723,293,1364,1877,597,499
"ENSMUSG00000027878.12","Notch2",792,684,690,298,600,1027,395,294
"ENSMUSG00000027876.5","Reg4",0,0,0,0,1,1,7,2
"ENSMUSG00000027875.13","Hmgcs2",1991,1197,1958,750,49167,70575,51777,34175
"ENSMUSG00000053398.12","Phgdh",41,50,42,16,3,7,0,6
"ENSMUSG00000050064.16","Zfp697",491,439,627,203,190,263,243,154
"ENSMUSG00000062410.15","Hsd3b3",2,2,0,0,84,112,126,122
"ENSMUSG00000027870.9","Hao2",0,0,0,0,5,5,1,2
"ENSMUSG00000004233.15","Wars2",369,285,355,112,156,173,109,92
"ENSMUSG00000027868.12","Tbx15",52,30,40,8,1,0,0,1
"ENSMUSG00000027867.11","Spag17",0,3,0,0,0,0,3,2
"ENSMUSG00000033285.16","Wdr3",311,232,223,85,173,347,107,99
"ENSMUSG00000027865.11","Gdap2",279,239,286,103,560,1118,278,223
"ENSMUSG00000044468.15","Tent5c",621,552,671,315,173,250,171,123
"ENSMUSG00000008763.17","Man1a2",998,789,989,378,538,934,572,365
"ENSMUSG00000051076.9","Vtcn1",15,7,12,4,3,6,3,1
"ENSMUSG00000033233.18","Trim45",176,126,124,42,40,45,10,7
"ENSMUSG00000033222.17","Ttf2",137,92,154,65,94,144,63,45
"ENSMUSG00000086564.10","Cd101",15,42,13,2,2,9,1,0
"ENSMUSG00000027864.10","Ptgfrn",1741,1467,1537,564,44,106,94,35
"ENSMUSG00000027863.9","Cd2",14,8,15,7,4,9,10,7
"ENSMUSG00000042035.12","Igsf3",516,420,400,146,10,8,6,2
"ENSMUSG00000033161.11","Atp1a1",48448,42780,31448,11325,5583,7429,5521,4098
"ENSMUSG00000044313.14","Mab21l3",6,2,2,4,3,7,0,0
"ENSMUSG00000033147.17","Slc22a15",107,86,136,51,178,234,102,99
"ENSMUSG00000027861.14","Casq2",36835,27703,25335,10337,5,2,1,0
"ENSMUSG00000027860.17","Vangl1",634,461,572,214,150,206,138,89
"ENSMUSG00000027859.11","Ngf",211,190,298,99,74,118,86,29
"ENSMUSG00000027858.14","Tspan2",394,386,341,132,18,26,21,14
"ENSMUSG00000027855.14","Sycp1",1,0,0,1,3,1,0,2
"ENSMUSG00000048938.13","Nr1h5",1,0,0,0,45,47,67,22
"ENSMUSG00000027854.13","Sike1",1234,945,1281,436,213,285,138,116
"ENSMUSG00000068823.11","Csde1",16391,13972,14683,5651,2559,4716,2443,1721
"ENSMUSG00000027852.15","Nras",899,757,1078,359,422,675,309,279
"ENSMUSG00000007379.16","Dennd2c",94,73,120,37,7,11,3,12
"ENSMUSG00000005687.15","Bcas2",879,742,942,385,509,604,355,306
"ENSMUSG00000033014.13","Trim33",733,587,752,321,225,443,239,183
"ENSMUSG00000087119.5","Atg4a-ps",1,2,19,0,0,1,0,0
"ENSMUSG00000027848.14","Olfml3",575,369,513,192,85,130,109,51
"ENSMUSG00000008730.18","Hipk1",2915,2595,3107,1040,894,1758,800,494
"ENSMUSG00000027845.16","Dclre1b",89,57,89,31,38,58,40,27
"ENSMUSG00000105053.2","Gm43064",12,5,3,1,0,2,0,0
"ENSMUSG00000044165.13","Bcl2l15",2,2,4,0,1,1,0,0
"ENSMUSG00000027843.14","Ptpn22",17,11,35,15,18,13,23,17
"ENSMUSG00000044098.15","Rsbn1",294,218,283,83,39,128,74,30
"ENSMUSG00000058388.15","Phtf1",275,215,218,97,131,168,76,55
"ENSMUSG00000052539.16","Magi3",913,563,825,306,128,335,169,64
"ENSMUSG00000032913.14","Lrig2",448,359,407,183,134,331,93,63
"ENSMUSG00000032902.2","Slc16a1",11112,8550,6852,2435,1411,3087,467,270
"ENSMUSG00000055865.9","Tafa3",48,33,23,13,1,0,0,0
"ENSMUSG00000002228.8","Ppm1j",440,377,488,204,2,1,3,2
"ENSMUSG00000002233.14","Rhoc",1474,1131,1202,428,178,191,138,81
"ENSMUSG00000002227.16","Mov10",258,201,213,95,669,695,441,218
"ENSMUSG00000070372.12","Capza1",754,652,616,241,268,626,206,168
"ENSMUSG00000045576.17","St7l",459,349,357,119,408,645,364,215
"ENSMUSG00000027840.6","Wnt2b",71,76,99,19,34,23,15,7
"ENSMUSG00000062127.12","Cttnbp2nl",551,482,419,136,34,66,35,16
"ENSMUSG00000040896.17","Kcnd3",993,788,764,246,0,1,2,1
"ENSMUSG00000027905.16","Ddx20",352,258,335,111,161,273,144,103
"ENSMUSG00000048458.9","Inka2",1510,1027,868,375,3,5,2,0
"ENSMUSG00000068798.11","Rap1a",1524,1207,1466,530,666,1296,561,488
"ENSMUSG00000074344.8","Tmigd3",3,1,0,0,2,0,0,0
"ENSMUSG00000074342.5","I830077J02Rik",14,22,50,10,7,13,17,9
"ENSMUSG00000000563.18","Atp5pb",27802,22240,25967,10182,5182,8428,3840,3703
"ENSMUSG00000074340.10","Ovgp1",6,8,22,9,8,5,1,1
"ENSMUSG00000010136.15","Cimap3",0,0,0,1,0,9,0,0
"ENSMUSG00000043873.12","Chil5",4,6,7,5,2,0,0,0
"ENSMUSG00000062778.13","Chia1",0,0,2,0,0,0,99,36
"ENSMUSG00000040809.11","Chil3",27,46,3,3,8,34,14,4
"ENSMUSG00000027901.13","Dennd2d",14,5,24,9,114,187,95,95
"ENSMUSG00000040774.16","Cept1",722,626,577,226,937,1580,647,478
"ENSMUSG00000027900.16","Dram2",1997,1488,1990,709,669,1354,826,636
"ENSMUSG00000056260.16","Lrif1",371,273,363,111,147,280,94,88
"ENSMUSG00000040747.10","Cd53",157,168,194,73,105,240,114,84
"ENSMUSG00000040724.6","Kcna2",120,85,132,53,46,25,64,26
"ENSMUSG00000070368.10","Prok1",0,0,3,0,16,17,42,38
"ENSMUSG00000087260.6","Lamtor5",784,594,789,351,404,544,436,337
"ENSMUSG00000027896.16","Slc16a4",105,70,137,44,95,59,15,28
"ENSMUSG00000048109.11","Rbm15",653,554,528,209,289,521,125,116
"ENSMUSG00000027895.11","Kcnc4",16,26,27,5,0,1,1,0
"ENSMUSG00000027894.15","Slc6a17",199,177,216,94,0,0,0,0
"ENSMUSG00000014601.14","Strip1",1058,869,830,312,359,589,162,165
"ENSMUSG00000027893.15","Ahcyl1",2595,2262,2736,1077,1888,2991,1135,854
"ENSMUSG00000014599.11","Csf1",1663,1555,1522,628,166,392,94,83
"ENSMUSG00000040600.10","Eps8l3",0,1,1,0,0,1,5,2
"ENSMUSG00000004032.11","Gstm5",670,582,799,245,165,181,125,68
"ENSMUSG00000004035.13","Gstm7",952,781,886,333,1279,1851,495,654
"ENSMUSG00000068762.12","Gstm6",36,28,41,15,1481,1622,580,890
"ENSMUSG00000004038.10","Gstm3",2,1,0,0,463,525,100,144
"ENSMUSG00000040562.13","Gstm2",1741,1381,1855,714,868,1160,297,336
"ENSMUSG00000058135.13","Gstm1",4711,3890,5017,1870,13506,14853,5371,5334
"ENSMUSG00000027890.18","Gstm4",330,255,367,110,642,661,362,314
"ENSMUSG00000027889.18","Ampd2",208,145,190,77,988,925,262,155
"ENSMUSG00000009108.16","Gnat2",5,3,6,2,14,36,18,7
"ENSMUSG00000000001.5","Gnai3",800,599,690,254,1339,2534,1095,780
"ENSMUSG00000050947.10","Amigo1",1120,883,859,342,133,173,103,46
"ENSMUSG00000048796.8","Cyb561d1",269,218,366,151,115,126,91,58
"ENSMUSG00000048997.18","Atxn7l2",66,51,66,35,23,31,15,4
"ENSMUSG00000027887.12","Sypl2",40,25,25,6,0,1,0,0
"ENSMUSG00000068749.10","Psma5",1149,834,1070,435,1138,1668,821,687
"ENSMUSG00000068747.15","Sort1",1126,881,1393,501,284,418,580,252
"ENSMUSG00000068745.7","Mybphl",51,6,4,10,1,0,0,0
"ENSMUSG00000068744.13","Psrc1",18,4,7,2,2,2,1,0
"ENSMUSG00000068740.15","Celsr2",310,223,409,145,6,7,2,4
"ENSMUSG00000068739.14","Sars1",1582,1420,1576,535,1361,1585,673,505
"ENSMUSG00000040412.18","Elapor1",1,0,1,0,12,19,18,11
"ENSMUSG00000068732.6","Tmem167b",922,733,908,360,611,979,416,352
"ENSMUSG00000048100.14","Taf13",301,230,341,144,371,434,240,143
"ENSMUSG00000040389.16","Wdr47",330,231,319,122,23,26,15,20
"ENSMUSG00000027884.17","Clcc1",1073,885,916,345,644,1074,620,473
"ENSMUSG00000027883.16","Gpsm2",32,34,38,9,280,512,189,127
"ENSMUSG00000049565.17","Aknad1",0,0,5,0,0,0,0,0
"ENSMUSG00000027882.19","Stxbp3",563,437,619,238,443,639,275,215
"ENSMUSG00000045326.14","Fndc7",8,1,6,2,1,0,1,4
"ENSMUSG00000027881.15","Prpf38b",1043,763,883,292,712,924,357,268
"ENSMUSG00000040339.11","Eeig2",626,503,838,270,27,48,45,16
"ENSMUSG00000040322.11","Slc25a24",238,180,244,70,12,30,34,14
"ENSMUSG00000033721.17","Vav3",227,152,226,70,22,16,13,10
"ENSMUSG00000059857.17","Ntng1",5,7,6,0,0,0,1,1
"ENSMUSG00000049300.12","Prmt6",88,96,106,26,90,99,52,40
"ENSMUSG00000093931.3","Amy2a3",0,0,0,0,0,0,0,232
"ENSMUSG00000070360.6","Amy2a1",0,0,0,0,0,0,1,65
"ENSMUSG00000074264.13","Amy1",392,298,420,173,4598,7813,3404,2651
"ENSMUSG00000027981.15","Rnpc3",179,151,183,67,131,235,116,84
"ENSMUSG00000027966.21","Col11a1",14,4,0,3,0,0,0,0
"ENSMUSG00000027965.16","Olfm3",6,1,8,1,48,141,90,65
"ENSMUSG00000045092.9","S1pr1",2086,1697,1970,705,1339,2576,694,496
"ENSMUSG00000033554.18","Dph5",229,171,223,85,169,261,121,84
"ENSMUSG00000054414.5","Slc30a7",324,316,382,170,361,655,296,227
"ENSMUSG00000027963.15","Extl2",335,267,511,183,154,210,121,97
"ENSMUSG00000027962.15","Vcam1",525,616,450,192,221,584,222,184
"ENSMUSG00000068696.7","Gpr88",3,4,4,1,0,3,1,0
"ENSMUSG00000033502.16","Cdc14a",99,65,135,56,16,23,19,14
"ENSMUSG00000000339.15","Rtca",489,402,573,232,169,212,155,101
"ENSMUSG00000000340.11","Dbt",2357,1819,2562,1009,1319,2513,1122,1087
"ENSMUSG00000027961.8","Lrrc39",2909,2210,3393,1346,8,16,12,12
"ENSMUSG00000033439.13","Trmt13",275,201,338,164,42,49,25,16
"ENSMUSG00000027959.15","Sass6",24,22,38,7,18,19,7,5
"ENSMUSG00000089911.5","Mfsd14a",420,340,401,113,255,512,174,134
"ENSMUSG00000105103.2","Gm43191",3,3,2,3,9,10,18,6
"ENSMUSG00000027957.14","Slc35a3",78,60,77,21,89,206,125,73
"ENSMUSG00000033400.15","Agl",9626,8014,9026,3731,574,891,769,597
"ENSMUSG00000033386.11","Frrs1",150,114,178,51,605,889,416,225
"ENSMUSG00000033377.15","Palmd",2434,1943,1417,401,898,1653,722,506
"ENSMUSG00000080907.2","4930455H04Rik",5,4,4,1,5,4,0,5
"ENSMUSG00000044667.13","Plppr4",4,3,7,4,0,0,0,0
"ENSMUSG00000033342.16","Plppr5",5,1,2,4,1,12,3,9
"ENSMUSG00000028007.14","Snx7",193,138,197,109,385,562,290,284
"ENSMUSG00000033308.17","Dpyd",334,311,481,217,5434,11459,6101,4568
"ENSMUSG00000028134.12","Ptbp2",573,436,530,166,113,160,76,57
"ENSMUSG00000028133.18","Rwdd3",27,14,42,18,93,71,71,62
"ENSMUSG00000028132.16","Tlcd4",75,58,66,67,2112,3786,3153,1969
"ENSMUSG00000039887.12","Alg14",302,224,289,131,320,456,175,173
"ENSMUSG00000053931.12","Cnn3",1080,886,1129,399,2092,2850,1775,1564
"ENSMUSG00000039865.9","Slc44a3",6,3,3,3,98,138,113,112
"ENSMUSG00000028128.14","F3",576,357,528,215,33,42,88,48
"ENSMUSG00000028127.11","Abcd3",4416,3567,5494,1880,8440,13602,9748,7919
"ENSMUSG00000039831.17","Arhgap29",2282,1915,2256,783,1053,2015,966,593
"ENSMUSG00000028125.15","Abca4",16,8,16,3,1,0,0,1
"ENSMUSG00000028124.17","Gclm",53,47,142,33,42,125,92,62
"ENSMUSG00000028121.9","Bcar3",217,184,277,86,1407,1075,623,468
"ENSMUSG00000039735.17","Fnbp1l",667,620,822,236,381,680,239,175
"ENSMUSG00000053965.11","Pde5a",186,153,220,81,25,30,45,18
"ENSMUSG00000054091.10","1810037I17Rik",848,735,830,324,418,497,218,220
"ENSMUSG00000039701.12","Usp53",332,248,375,175,96,302,92,77
"ENSMUSG00000028116.14","Myoz2",24639,19600,21634,8076,0,0,0,1
"ENSMUSG00000050315.15","Synpo2",6641,5475,5286,2077,13,21,7,5
"ENSMUSG00000039234.12","Sec24d",1232,1019,1395,513,1418,2793,996,547
"ENSMUSG00000028114.17","Mettl14",685,602,499,205,140,211,82,61
"ENSMUSG00000027978.10","Prss12",16,9,14,7,1,3,3,4
"ENSMUSG00000027977.16","Ndst3",5,4,3,0,1,1,1,0
"ENSMUSG00000044528.6","Tram1l1",10,6,5,1,0,1,0,0
"ENSMUSG00000032854.13","Ugt8a",0,2,0,0,2,5,0,4
"ENSMUSG00000046561.10","Arsj",18,8,13,6,0,0,0,0
"ENSMUSG00000053819.17","Camk2d",4627,3757,4237,1792,101,161,100,51
"ENSMUSG00000032826.20","Ank2",5812,4828,6315,2417,115,168,92,89
"ENSMUSG00000027968.12","Larp7",688,581,687,247,238,259,118,87
"ENSMUSG00000051278.13","Zgrf1",38,33,61,11,13,15,7,7
"ENSMUSG00000028028.12","Alpk1",98,96,215,63,71,391,24,18
"ENSMUSG00000046688.15","Tifa",47,45,80,18,920,4685,221,158
"ENSMUSG00000074238.7","Ap1ar",13,9,7,2,3,13,2,5
"ENSMUSG00000050549.9","Fam241a",74,66,119,25,30,70,47,25
"ENSMUSG00000028023.17","Pitx2",1,9,3,1,0,0,0,0
"ENSMUSG00000028024.15","Enpep",326,267,412,155,786,1943,775,615
"ENSMUSG00000041220.11","Elovl6",57,40,37,9,1634,3509,605,659
"ENSMUSG00000028017.8","Egf",259,215,428,150,16,6,14,3
"ENSMUSG00000093865.8","Lrit3",9,5,2,1,0,0,0,0
"ENSMUSG00000028010.17","Gar1",191,172,197,61,124,153,55,40
"ENSMUSG00000058952.13","Cfi",3,1,3,1,14312,21013,11295,7817
"ENSMUSG00000027999.16","Pla2g12a",1195,1015,1266,361,106,136,257,148
"ENSMUSG00000027997.10","Casp6",161,147,262,128,203,335,357,277
"ENSMUSG00000027994.15","Mcub",41,39,49,20,1,4,3,1
"ENSMUSG00000001052.16","Sec24b",999,839,1032,359,397,699,251,171
"ENSMUSG00000058897.19","Col25a1",11,9,23,12,1,7,29,7
"ENSMUSG00000019232.15","Etnppl",3,3,0,0,870,1755,1037,1250
"ENSMUSG00000041084.9","Ostc",756,546,520,221,1258,1908,666,558
"ENSMUSG00000062006.13","Rpl34",1940,1593,1910,691,1634,2377,1338,1362
"ENSMUSG00000027985.15","Lef1",1,2,16,5,2,3,0,3
"ENSMUSG00000027984.9","Hadh",19935,16440,22454,9791,5816,7469,4966,4383
"ENSMUSG00000027983.14","Cyp2u1",714,622,381,138,1228,975,437,236
"ENSMUSG00000050931.8","Sgms2",89,82,47,21,700,1361,789,476
"ENSMUSG00000028032.14","Papss1",347,251,344,113,363,557,143,110
"ENSMUSG00000028031.7","Dkk2",14,12,7,1,0,1,0,0
"ENSMUSG00000091721.5","Gimd1",0,0,0,0,202,195,42,33
"ENSMUSG00000028029.12","Aimp1",1244,1028,1302,507,464,554,384,326
"ENSMUSG00000028030.13","Tbck",607,492,511,196,385,520,168,121
"ENSMUSG00000040998.19","Npnt",47,56,20,17,6,5,6,1
"ENSMUSG00000028018.16","Gstcd",75,51,97,31,76,130,56,26
"ENSMUSG00000028016.10","Ints12",307,223,224,82,116,221,78,61
"ENSMUSG00000040969.16","Arhgef38",0,2,4,1,0,3,0,1
"ENSMUSG00000028013.17","Ppa2",2110,1749,2270,840,1018,1051,656,614
"ENSMUSG00000040943.13","Tet2",580,539,723,229,109,174,60,42
"ENSMUSG00000044365.17","Cxxc4",92,48,127,39,3,4,1,4
"ENSMUSG00000045328.12","Cenpe",21,25,57,13,1,2,7,2
"ENSMUSG00000028167.16","Bdh2",12,4,7,6,232,339,198,268
"ENSMUSG00000037994.15","Slc9b2",0,2,1,1,4,15,5,7
"ENSMUSG00000050150.17","Slc9b1",8,7,5,0,0,1,1,0
"ENSMUSG00000028165.10","Cisd2",1930,1586,2379,933,581,877,576,447
"ENSMUSG00000078578.10","Ube2d3",8607,6999,7693,3050,2715,5272,2992,2511
"ENSMUSG00000028164.16","Manba",855,704,705,313,457,624,392,279
"ENSMUSG00000028163.18","Nfkb1",1666,1432,1332,486,511,1172,295,267
"ENSMUSG00000053897.16","Slc39a8",104,62,89,29,463,719,319,218
"ENSMUSG00000037922.14","Bank1",19,24,19,9,4,25,11,9
"ENSMUSG00000028161.18","Ppp3ca",2104,1738,2521,979,551,764,604,406
"ENSMUSG00000054690.18","Emcn",1109,800,1057,349,42,71,22,35
"ENSMUSG00000046818.8","Ddit4l",51,39,48,19,24,39,9,10
"ENSMUSG00000037894.14","H2az1",622,446,517,271,511,677,365,270
"ENSMUSG00000074212.8","Dnajb14",1195,1078,808,295,340,628,275,172
"ENSMUSG00000091512.6","Lamtor3",1422,1243,1364,480,222,361,187,152
"ENSMUSG00000028159.15","Dapp1",450,280,325,110,21,22,14,4
"ENSMUSG00000090066.3","1110002E22Rik",4414,3447,3006,1217,3,5,1,0
"ENSMUSG00000028158.15","Mttp",263,234,355,110,4614,6895,2954,1841
"ENSMUSG00000004127.13","Trmt10a",90,53,58,20,79,163,44,47
"ENSMUSG00000012042.10","4930579F01Rik",3,0,1,0,11,30,46,40
"ENSMUSG00000074207.11","Adh1",50,32,121,46,5957,8713,5259,5762
"ENSMUSG00000053054.14","Adh6a",0,0,0,0,2,3,12,1
"ENSMUSG00000074206.8","Adh6b",2,2,12,1,3,3,1,1
"ENSMUSG00000037797.15","Adh4",0,1,0,1,3812,6014,2804,1961
"ENSMUSG00000028138.9","Adh5",2157,1632,2144,773,7548,10437,6006,5757
"ENSMUSG00000005813.13","Metap1",1252,1063,1320,531,660,1052,465,342
"ENSMUSG00000028156.13","Eif4e",3343,2696,3940,1690,859,1602,613,468
"ENSMUSG00000028152.11","Tspan5",154,138,169,70,12,14,17,4
"ENSMUSG00000028149.13","Rap1gds1",1192,878,1156,445,461,660,385,308
"ENSMUSG00000047940.14","Stpg2",4,2,7,1,1,2,0,1
"ENSMUSG00000059921.16","Unc5c",19,14,11,2,1,2,1,0
"ENSMUSG00000052430.16","Bmpr1b",10,12,11,2,1,2,0,0
"ENSMUSG00000028273.17","Pdlim5",27304,20939,19904,6842,860,1438,576,466
"ENSMUSG00000105504.5","Gbp5",273,278,466,158,15,71,25,17
"ENSMUSG00000040253.16","Gbp7",519,470,705,215,126,340,190,147
"ENSMUSG00000028268.15","Gbp3",393,317,549,153,231,316,173,93
"ENSMUSG00000040264.11","Gbp2b",0,1,0,0,14,22,15,23
"ENSMUSG00000028270.13","Gbp2",480,425,646,183,90,148,79,48
"ENSMUSG00000040213.14","Kyat3",647,484,703,266,4114,5446,1508,1229
"ENSMUSG00000028271.10","Gtf2b",538,433,415,129,428,573,287,207
"ENSMUSG00000004591.17","Pkn2",1514,1324,1400,541,441,1222,550,355
"ENSMUSG00000028266.18","Lmo4",723,459,569,244,178,229,121,127
"ENSMUSG00000040151.10","Hs2st1",445,368,493,184,284,475,199,134
"ENSMUSG00000037072.17","Selenof",2220,1817,2198,846,2285,4630,2368,2095
"ENSMUSG00000037062.14","Sh3glb1",7833,6345,7921,2929,904,1624,883,780
"ENSMUSG00000056025.13","Clca3a1",33,18,38,9,80,120,58,38
"ENSMUSG00000028262.14","Clca3a2",1,2,0,2,0,1,0,3
"ENSMUSG00000074195.4","Clca4b",0,0,1,0,0,2,47,4
"ENSMUSG00000068547.8","Clca4a",0,0,0,0,0,3,5,0
"ENSMUSG00000028255.7","Clca1",0,0,0,0,0,1,30,4
"ENSMUSG00000036960.11","Clca2",3,2,6,4,0,0,0,0
"ENSMUSG00000028256.17","Odf2l",273,230,327,110,122,170,120,112
"ENSMUSG00000028197.5","Col24a1",1,0,7,4,4,5,7,0
"ENSMUSG00000074182.9","Znhit6",334,243,259,129,124,119,120,55
"ENSMUSG00000028195.5","Ccn1",1504,1210,1469,496,153,138,36,38
"ENSMUSG00000028194.16","Ddah1",172,137,178,66,1496,2050,1006,822
"ENSMUSG00000028191.12","Bcl10",459,373,490,160,229,449,169,114
"ENSMUSG00000036873.14","2410004B18Rik",429,350,371,145,122,179,60,53
"ENSMUSG00000036863.13","Syde2",603,466,741,384,40,79,109,69
"ENSMUSG00000043020.14","Dnai3",0,1,1,1,0,1,1,3
"ENSMUSG00000011008.14","Mcoln2",9,7,12,3,6,3,6,4
"ENSMUSG00000036832.6","Lpar3",11,5,2,6,1,0,1,8
"ENSMUSG00000036825.13","Ssx2ip",367,260,376,167,143,248,147,82
"ENSMUSG00000028189.13","Ctbs",42,27,54,16,40,90,66,56
"ENSMUSG00000028188.14","Spata1",102,85,111,38,59,92,64,39
"ENSMUSG00000068523.13","Gng5",2014,1597,1879,684,1021,1567,843,694
"ENSMUSG00000028187.11","Rpf1",283,262,357,120,376,548,239,178
"ENSMUSG00000028186.15","Uox",0,3,6,3,17268,27087,20519,19986
"ENSMUSG00000048652.13","Samd13",28,21,34,16,0,0,0,0
"ENSMUSG00000005034.16","Prkacb",2115,1778,2237,810,535,1023,748,504
"ENSMUSG00000036745.16","Ttll7",452,425,515,169,19,26,21,10
"ENSMUSG00000028184.14","Adgrl2",2213,1642,2483,904,609,1284,480,370
"ENSMUSG00000039167.13","Adgrl4",2318,1930,2324,671,157,300,163,145
"ENSMUSG00000028037.14","Ifi44",277,204,224,31,174,289,112,53
"ENSMUSG00000028036.7","Ptgfr",105,69,151,53,1,8,1,2
"ENSMUSG00000039131.16","Gipc2",98,73,110,51,5,1,5,3
"ENSMUSG00000028035.14","Dnajb4",3389,2908,2747,1135,615,932,344,312
"ENSMUSG00000028034.16","Fubp1",1774,1606,1222,408,602,879,275,138
"ENSMUSG00000039103.13","Nexn",15207,12446,13119,4784,14,20,8,8
"ENSMUSG00000054942.14","Miga1",583,436,647,242,28,39,35,13
"ENSMUSG00000025437.16","Usp33",749,509,653,238,306,592,261,228
"ENSMUSG00000039068.17","Zzz3",1326,1005,1048,442,438,764,411,243
"ENSMUSG00000039058.12","Ak5",9,5,18,5,0,1,0,4
"ENSMUSG00000039047.18","Pigk",1040,806,910,330,685,843,426,309
"ENSMUSG00000052544.10","St6galnac3",126,112,154,58,21,17,13,17
"ENSMUSG00000005493.16","Msh4",0,0,2,2,1,1,0,0
"ENSMUSG00000038975.15","Rabggtb",1508,1226,1711,653,948,1066,635,575
"ENSMUSG00000062908.13","Acadm",38509,31420,40411,18081,4519,6572,5440,4276
"ENSMUSG00000028360.11","Slc44a5",48,36,28,9,0,0,0,0
"ENSMUSG00000047583.10","Tyw3",169,146,136,35,25,34,21,14
"ENSMUSG00000028199.19","Cryz",320,310,367,128,1174,1757,1556,1516
"ENSMUSG00000078161.9","Erich3",17,16,20,9,3,3,0,0
"ENSMUSG00000040086.14","Tnni3k",3604,2928,3768,1715,0,1,0,0
"ENSMUSG00000053870.8","Fpgt",358,254,329,130,229,598,179,112
"ENSMUSG00000028182.15","Lrriq3",9,6,22,7,20,29,27,18
"ENSMUSG00000040037.14","Negr1",75,81,74,29,1,2,0,0
"ENSMUSG00000028180.19","Zranb2",1440,1187,1561,585,629,1050,321,273
"ENSMUSG00000040016.17","Ptger3",15,23,12,7,1,5,1,7
"ENSMUSG00000028179.13","Cth",28,14,55,29,4157,8902,2707,3101
"ENSMUSG00000039988.16","Ankrd13c",896,786,912,336,519,782,338,307
"ENSMUSG00000055436.19","Srsf11",1258,1012,1271,440,726,1001,501,444
"ENSMUSG00000063052.10","Lrrc40",265,209,253,103,155,271,203,146
"ENSMUSG00000028176.14","Lrrc7",1,1,0,1,1,2,0,0
"ENSMUSG00000028175.16","Depdc1a",8,5,4,0,1,2,2,1
"ENSMUSG00000028173.11","Wls",1761,1235,1804,669,73,146,96,71
"ENSMUSG00000028232.14","Tmem68",271,217,203,88,122,279,129,121
"ENSMUSG00000028233.7","Tgs1",567,452,423,138,221,370,202,137
"ENSMUSG00000042228.15","Lyn",593,530,776,286,564,881,419,248
"ENSMUSG00000028234.7","Rps20",2766,2266,2764,1135,2220,2774,1694,1407
"ENSMUSG00000078365.6","Mos",4,0,3,2,0,0,0,0
"ENSMUSG00000003282.10","Plag1",115,74,81,35,0,0,5,2
"ENSMUSG00000042198.13","Chchd7",1442,1036,1096,440,195,181,154,151
"ENSMUSG00000068240.6","Uba52rt",2926,2455,2845,962,1604,2084,1369,1126
"ENSMUSG00000028236.4","Sdr16c5",0,0,0,0,5,14,16,0
"ENSMUSG00000045573.10","Penk",182,92,234,89,0,3,1,1
"ENSMUSG00000066324.3","Bpnt2",2123,1599,2257,846,582,1245,609,404
"ENSMUSG00000049119.15","Fam110b",337,280,256,102,10,10,9,5
"ENSMUSG00000028243.6","Ubxn2b",217,167,170,95,77,141,47,50
"ENSMUSG00000028240.3","Cyp7a1",2,0,0,0,518,472,2014,1251
"ENSMUSG00000028249.16","Sdcbp",2765,2267,2753,908,935,1619,920,649
"ENSMUSG00000028245.16","Nsmaf",1214,989,1259,449,156,315,211,135
"ENSMUSG00000041272.12","Tox",21,10,29,13,35,39,29,70
"ENSMUSG00000041261.10","Car8",779,523,980,320,886,1174,1183,1208
"ENSMUSG00000047187.10","Rab2a",3297,2676,3549,1368,1809,2393,1401,1044
"ENSMUSG00000041235.13","Chd7",1070,1013,840,267,266,378,303,168
"ENSMUSG00000041216.16","Clvs1",45,20,42,10,0,0,0,1
