"","Genename","Heart_ZT0_1","Heart_ZT0_2","Heart_ZT12_1","Heart_ZT12_2","Liver_ZT0_1","Liver_ZT0_2","Liver_ZT12_1","Liver_ZT12_2"
"ENSMUSG00000001946.15","Esam",1826,1592,1892,618,165,178,130,96
"ENSMUSG00000001943.9","Vsig2",166,134,197,54,13,11,2,2
"ENSMUSG00000053310.12","Nrgn",213,242,226,45,2,6,3,0
"ENSMUSG00000001942.9","Siae",549,398,598,232,530,821,786,594
"ENSMUSG00000011114.19","Tbrg1",703,514,613,214,688,960,478,400
"ENSMUSG00000023186.15","Vwa5a",1246,962,1431,519,547,1023,397,237
"ENSMUSG00000061039.6","Or8b53",2,2,11,2,2,4,4,2
"ENSMUSG00000038112.16","AW551984",1,1,12,2,0,0,1,0
"ENSMUSG00000025602.14","Zfp202",159,105,179,59,9,10,9,12
"ENSMUSG00000049281.17","Scn3b",33,28,46,10,1,3,6,0
"ENSMUSG00000040111.18","Gramd1b",1524,1191,1800,633,32,48,39,24
"ENSMUSG00000032024.11","Clmp",98,107,107,22,6,21,7,3
"ENSMUSG00000015656.18","Hspa8",54525,43498,27436,9286,27310,37343,10383,8173
"ENSMUSG00000032021.15","Crtam",2,1,5,1,0,1,0,0
"ENSMUSG00000032020.16","Ubash3b",116,83,100,25,12,40,29,11
"ENSMUSG00000049313.9","Sorl1",616,602,674,206,38,100,42,16
"ENSMUSG00000032018.15","Sc5d",648,514,593,275,8786,12229,5605,4356
"ENSMUSG00000037705.14","Tecta",4,1,2,0,1,0,1,0
"ENSMUSG00000037287.16","Tbcel",711,543,891,300,884,1203,1301,757
"ENSMUSG00000032017.15","Grik4",2,0,3,2,1,4,3,0
"ENSMUSG00000059495.15","Arhgef12",11451,9530,9880,3395,1836,4262,2122,1126
"ENSMUSG00000048503.8","Tlcd5",288,220,422,113,14,16,7,10
"ENSMUSG00000032015.17","Pou2f3",3,6,5,2,1,0,0,0
"ENSMUSG00000032014.7","Oaf",375,272,451,134,5011,5928,4771,3295
"ENSMUSG00000032013.7","Trim29",2,1,0,1,3,0,0,1
"ENSMUSG00000032012.10","Nectin1",151,82,113,34,1629,1404,464,298
"ENSMUSG00000032011.6","Thy1",222,154,233,73,36,38,16,18
"ENSMUSG00000111409.2","Gm49380",0,3,1,1,1,0,0,0
"ENSMUSG00000032135.16","Mcam",1453,1101,1407,434,73,131,80,40
"ENSMUSG00000034342.10","Cbl",1340,1128,1212,451,176,342,153,94
"ENSMUSG00000032105.6","Nherf4",199,149,144,53,0,1,2,0
"ENSMUSG00000032109.16","Nlrx1",507,407,542,208,170,163,117,92
"ENSMUSG00000032131.17","Abcg4",12,5,10,8,0,0,3,0
"ENSMUSG00000032119.6","Hinfp",256,186,279,103,211,296,138,70
"ENSMUSG00000032120.12","C2cd2l",657,527,477,200,967,1035,606,363
"ENSMUSG00000032123.6","Dpagt1",324,253,282,111,350,527,251,128
"ENSMUSG00000049932.4","H2ax",162,113,181,59,188,143,36,32
"ENSMUSG00000032126.17","Hmbs",865,684,830,281,1419,1815,629,614
"ENSMUSG00000032127.10","Vps11",668,580,849,293,657,857,433,298
"ENSMUSG00000032115.15","Hyou1",2450,1946,1124,392,10773,15787,1765,853
"ENSMUSG00000032114.10","Slc37a4",511,420,502,204,3204,4042,2615,2707
"ENSMUSG00000032112.11","Trappc4",513,362,432,164,515,430,210,181
"ENSMUSG00000009927.10","Rps25",4305,3344,4073,1537,2602,4441,2947,3004
"ENSMUSG00000043923.9","Cenatac",98,83,103,32,166,199,76,62
"ENSMUSG00000041523.4","Upk2",6,2,6,3,0,0,0,0
"ENSMUSG00000063382.7","Bcl9l",1563,1422,1821,657,594,857,636,319
"ENSMUSG00000047880.16","Cxcr5",5,7,22,6,15,11,9,0
"ENSMUSG00000032097.11","Ddx6",5353,4418,5692,2224,1639,2616,1519,1023
"ENSMUSG00000032098.14","Treh",4,3,0,0,72,115,41,32
"ENSMUSG00000048537.17","Phldb1",5263,4459,5970,2259,84,128,58,46
"ENSMUSG00000032096.17","Arcn1",3404,2778,2886,1084,2935,5607,2468,1555
"ENSMUSG00000002031.14","Ift46",208,180,313,114,424,479,384,305
"ENSMUSG00000002032.18","Tmem25",445,358,413,186,741,623,280,265
"ENSMUSG00000039438.8","Ttc36",0,0,0,0,499,636,349,332
"ENSMUSG00000002028.14","Kmt2a",2276,1994,2302,876,287,553,237,146
"ENSMUSG00000038717.10","Atp5mg",7296,5569,6795,2156,2061,2834,1142,1483
"ENSMUSG00000059890.17","Ube4a",1296,964,1230,467,1439,2720,1253,901
"ENSMUSG00000002033.15","Cd3g",12,3,10,6,6,14,6,3
"ENSMUSG00000032094.9","Cd3d",5,1,8,3,6,12,3,10
"ENSMUSG00000032093.8","Cd3e",2,1,2,1,4,2,1,2
"ENSMUSG00000032092.6","Mpzl2",4,4,6,1,100,199,238,190
"ENSMUSG00000070305.11","Mpzl3",120,87,88,43,218,295,170,108
"ENSMUSG00000048534.8","Jaml",3,12,10,2,3,12,5,4
"ENSMUSG00000046480.7","Scn4b",3713,2774,6774,2003,0,4,1,0
"ENSMUSG00000091996.9","Smim35",12,6,11,1,0,2,0,0
"ENSMUSG00000032089.17","Il10ra",142,134,160,38,77,98,69,44
"ENSMUSG00000037129.8","Tmprss13",138,100,44,13,0,1,0,0
"ENSMUSG00000066705.8","Fxyd6",768,657,755,297,16,23,9,2
"ENSMUSG00000059412.8","Fxyd2",47,41,58,18,0,0,0,0
"ENSMUSG00000043987.19","Cep164",319,277,428,160,309,383,152,110
"ENSMUSG00000032086.13","Bace1",1296,1080,1438,515,383,588,319,236
"ENSMUSG00000042790.17","Rnf214",721,585,811,267,330,562,236,173
"ENSMUSG00000035382.10","Pcsk7",760,565,682,247,517,838,422,337
"ENSMUSG00000032085.6","Tagln",33,18,15,3,19,8,18,13
"ENSMUSG00000034908.17","Sidt2",2396,2086,2217,743,3088,4699,1972,1326
"ENSMUSG00000003131.8","Pafah1b2",1099,887,947,359,488,907,397,265
"ENSMUSG00000034135.16","Sik3",2676,2620,2702,1016,1092,1647,656,488
"ENSMUSG00000032083.9","Apoa1",9,2,4,1,212584,186674,149109,92419
"ENSMUSG00000032081.11","Apoc3",2,0,4,0,38662,42514,15713,16218
"ENSMUSG00000032080.7","Apoa4",0,0,0,0,3175,4122,1655,874
"ENSMUSG00000032079.13","Apoa5",0,0,0,0,3609,8293,2596,1979
"ENSMUSG00000032078.18","Zpr1",694,531,621,212,1078,1471,490,470
"ENSMUSG00000032077.6","Bud13",231,193,176,61,131,201,64,60
